JobNo,EmployeeName,EmployeeSex,Birthday,age,HighestDegree,MaritalStatus,nation,Political,Electron,Telephone,position,title,EmploymentForm,Major,EmploymentDate,contractTerm
1,张柳,女,2002-07-18,21,初中,未婚,满族,预备党员,minfang@yahoo.com,13686178627,运维,初级,劳动合同,数学,2021-11-15,1
2,李波,男,1984-11-15,39,大专,未婚,汉族,群众,guiying64@hotmail.com,18208942905,前端,实习,劳动合同,数学,2021-06-04,3
3,冯坤,男,1989-12-14,34,高中,已婚,朝鲜族,党员,yongqin@yahoo.com,18069439669,运营,高级,劳务合同,软件工程,2022-12-13,1
4,纪建军,男,1981-04-23,42,本科,未婚,满族,群众,sunqiang@yahoo.com,18856986600,运营,初级,劳务合同,计算机,2021-12-09,3
5,丁桂芳,男,1979-12-24,44,硕士,已婚,回族,团员,ndai@gmail.com,13218530789,前端,高级,劳动合同,计算机,2022-11-29,3
6,和秀芳,男,1992-05-17,31,高中,已婚,朝鲜族,团员,jyi@yahoo.com,13814910632,运维,实习,劳务合同,数学,2022-06-21,3
7,刘博,女,1978-10-08,45,博士,未婚,朝鲜族,预备党员,zoufang@hotmail.com,13671355246,后端,实习,劳务合同,计算机,2022-03-08,3
8,陈莹,男,1984-09-09,39,大专,已婚,满族,团员,guiyingfang@hotmail.com,13603184498,后端,助理,劳务合同,数学,2023-01-20,3
9,王玉,男,1978-11-04,45,小学,已婚,回族,团员,bwen@gmail.com,15811977015,运维,高级,劳务合同,软件工程,2022-06-05,1
10,丁建军,女,1985-03-18,38,本科,已婚,汉族,预备党员,mchen@yahoo.com,18715696359,后端,助理,劳务合同,计算机,2022-02-13,3
11,马俊,男,1973-12-03,50,博士,已婚,蒙古族,团员,ming24@yahoo.com,18532138046,后端,实习,劳务合同,计算机,2021-08-17,2
12,赵欢,女,1996-12-04,27,本科,未婚,蒙古族,预备党员,htao@yahoo.com,14794432617,后端,初级,劳动合同,数学,2021-07-08,1
13,徐明,男,1980-02-21,43,本科,未婚,蒙古族,预备党员,liliu@gmail.com,13850253031,运维,实习,劳务合同,软件工程,2021-07-02,1
14,萧金凤,女,1973-04-30,50,其他,未婚,朝鲜族,团员,kangyang@hotmail.com,13375246731,前端,助理,劳务合同,数学,2021-12-28,1
15,金红霞,女,1988-08-24,35,小学,已婚,朝鲜族,党员,liuxia@gmail.com,18584682148,运维,实习,劳务合同,数学,2022-04-01,3
16,夏柳,女,1990-05-22,33,大专,已婚,满族,团员,ming45@hotmail.com,18294613349,运营,中级,劳动合同,数学,2022-04-05,1
17,梁兵,女,1991-10-12,32,博士,已婚,汉族,预备党员,wei06@yahoo.com,15353801372,运营,实习,劳动合同,软件工程,2021-06-01,1
18,颜娟,男,2000-04-30,23,本科,未婚,满族,团员,xia96@yahoo.com,14580741142,运维,助理,劳务合同,软件工程,2022-08-09,1
19,白建华,女,2003-02-16,20,博士,未婚,汉族,预备党员,jie11@hotmail.com,18761136523,前端,初级,劳动合同,软件工程,2021-07-15,1
